genus,NC_128,NC_134,NC_136,NC_137,NC_138,NC_139,NC_140,NC_143,NC_144,NC_145,NC_146,NC_147,NC_148,NC_149,NC_150,NC_151,NC_152,NC_153,NC_154,NC_155,NC_156,NC_157,NC_158,NC_159,NC_160,NC_161,NC_162,NC_163,NC_164,NC_165,NC_166,NC_167,NC_168,NC_169,NC_173,NC_174,NC_176,NC_177,NC_180,NC_181,NC_182,NC_183,NC_184,NC_185,NC_186,NC_199,NC_200,NC_201,NC_202,NC_204,NC_205,NC_206,NC_207,NC_209,NC_210,NC_214,NC_218,NC_219,NC_220,NC_224,NC_225,NC_241,SLE_1,SLE_100,SLE_106,SLE_11,SLE_113,SLE_117,SLE_119,SLE_12,SLE_120,SLE_121,SLE_122,SLE_125,SLE_129,SLE_131,SLE_132,SLE_170,SLE_171,SLE_172,SLE_175,SLE_178,SLE_179,SLE_18,SLE_189,SLE_19,SLE_191,SLE_192,SLE_193,SLE_195,SLE_196,SLE_197,SLE_198,SLE_2,SLE_212,SLE_213,SLE_215,SLE_216,SLE_226,SLE_227,SLE_228,SLE_229,SLE_23,SLE_232,SLE_234,SLE_235,SLE_24,SLE_243,SLE_244,SLE_247,SLE_248,SLE_249,SLE_250,SLE_251,SLE_252,SLE_253,SLE_254,SLE_255,SLE_256,SLE_257,SLE_26,SLE_266,SLE_267,SLE_269,SLE_27,SLE_271,SLE_272,SLE_273,SLE_276,SLE_277,SLE_278,SLE_279,SLE_280,SLE_281,SLE_37,SLE_39,SLE_40,SLE_45,SLE_48,SLE_50,SLE_52,SLE_53,SLE_54,SLE_56,SLE_59,SLE_6,SLE_62,SLE_63,SLE_69,SLE_7,SLE_71,SLE_72,SLE_75,SLE_78,SLE_80,SLE_82,SLE_83,SLE_84,SLE_85,SLE_87,SLE_89,SLE_91,SLE_92,SLE_95,SLE_99
[Eubacterium] rectale,0.00219734,0.000803028,0.003756789,0.000475533,0.001816207,0.000988224,0.000713573,0.002317838,0.005325334,0.00185203,0.000641789,0.001086708,0.004064274,0.001397251,0.002484257,0.000622052,0.000882267,0.003008994,0.000658899,0.001476328,0.002552557,0.000716871,0.004744732,0.003540292,0.003101343,0.002076842,0.001723907,0.000866551,0.001449462,0.002502148,0.000914543,0.000198781,0.004646832,0.003429775,0.005627986,0.00395153,0.003132108,0.000833955,0.000811389,0.000540233,0.003101921,0.00084272,0.000982381,0.005220984,0.002352057,0.001422061,0.001578289,0.000932245,0.00741106,0.002307511,0.003400631,0.001427471,0.002130191,0.001451364,0.000938264,0.004787222,0.001849169,0.001386555,0.003215334,0.001099096,0.003693874,0.001330545,0.001001641,0.000964084,0.0006146,0.005293349,0.001066544,0.001386602,0.006225001,0.003659341,0.001601961,0.002712605,0.002468459,0.000864072,0.003088001,0.000679169,0.006050048,0.00081873,0.001064242,0.004184471,0.000462966,0.004076415,0.000966177,0.000734749,0.00522845,0.001297768,0.000885628,0.004433556,0.000871415,0.000767452,0.004107905,0.000878279,0.000695913,0.002865803,0.001090048,0.00022352,0.000529876,0.002207272,0.001224853,0.000424911,0.004919714,0.000533254,0.001191149,0.000218504,0.005696077,0.000583019,0.000861471,0.000814181,0.000763779,0.004433403,0.000576138,0.000838676,0.000880728,0.000595679,0.0070945,0.002406175,0.000785284,0.002159196,0.002443654,0.001214193,0.000439614,0.000846704,0.001737597,0.003706246,0.006327281,0.004610751,0.000879244,0.000995889,0.000549596,0,0.002870627,0.00093112,0.000686451,0.001153463,0.000762916,0.004568054,0.001041249,0.005338981,0.00048681,0.003449839,0.005521888,0.005609142,0.002898031,0.003350271,0.003714926,0.004762848,0.003449225,0.000728253,0.000993404,0.001189555,0,0.000589174,0.000564595,0.003642562,0,0.005092744,0.001552172,0.000544502,0.002588456,0.003421085,0.004486827,0.00143302,0.001649949,0.000540265,0.001837775
[Eubacterium] siraeum,0.001327301,0.000127281,0,0,0.000101481,0,0,0.000137905,0.000154717,0.00026417,0.001297875,0.00023024,0,0,0,0,0.000196996,0.002502114,0.000492509,0.000407054,0.000262446,0.00011717,0.000263123,0,0.000243735,0.000177669,0,0,0.000179111,0.001369563,0.000219048,0,0.000177311,0.00021135,0.000145294,0,0.000106663,7.24E-05,0,0,0.000153598,0,0.000287176,0.000123699,0,0.00022614,0.000599798,0.000100116,0.000232835,0.000132568,0,0.000125387,0.000171377,0,0,0,7.93E-05,0.000148307,0,0.000113846,7.28E-05,0.000399371,0.000212265,0,0,9.93E-05,0.000148398,0,0,0.000101769,0,0.000167034,0,0.000121315,7.49E-05,0,0,0,0.000319577,0.000283037,0.000116982,0.00087547,0.000190986,0.000180284,0,0.000220114,0,0,0.000110243,0.000243633,0.000289524,0,0,0.000205692,0.000347911,0,0,0.002429223,0,0.000298065,8.40E-05,0,0.000216001,0.000205578,0.000181498,0,0,0,0,0,0,0,0,0,0,0,0.000128395,0.000177474,0.000225522,0,0,0.000129248,0,0.000375212,0,0,0,0.000155742,0.000125269,0,0,9.48E-05,0,0,0,6.86E-05,0.000108746,0.00029542,0,0.000254567,0,0,0,0.000118951,9.31E-05,7.31E-05,0.000179256,0.0001102,0,0.000151886,0,0,0,0,0,0.000213916,0.000152681,8.47E-05,0,0,0,0.000193908,0,0.000283005,0
Akkermansia,0.000315727,0,0,0.002662967,0,7.73E-05,0,0.001649635,0,0.000232011,0.00263028,0,0,0,0,0,0,0,0,0,0,0,0.000253843,0,0,0,0,0,0,0.000399615,0,0.000206034,0,0,0,0,0.000442863,0,0,0,0,0,0.00022749,0,0,0,0,0,0,0,0.001795124,9.86E-05,0.001293454,0,0,0.000198725,0,0.000138116,0,0,0.000759289,0.000120242,0,0,0,0.002005168,0,0.001527272,0,0.000113384,0.000151601,0,0,0,0,0,0,0,0,0.000408041,0,0.000450035,0.000168312,0,0,0,0,0,0,0,0.000860853,0,0,0.000216663,0,0,0,0,0,0.000453932,0,0,0,0,0,0,0.00016511,0,0.00126086,8.75E-05,0,0,0.000111164,0,0,0,0.002261377,0.000144299,0,0,0.000236613,0.000143672,0,0,0,0,0,0.00012433,0,0,0,0.000149827,0,0,7.74E-05,7.30E-05,0,0,0,0,0,0,0,0,0,0.000166705,0,8.88E-05,0,0,0,0,0.001844324,0,0,0,0,0,0,0,0.000144105,0,0,0,0.002931466
Alistipes,0.007546473,0.000275449,0.000273627,0.000386985,0.000463638,0.005458471,0.000320348,0.009045267,0.00034924,0.000318615,0.000231267,0.00017123,0.000235217,8.83E-05,0.006455864,0,0.000413804,0.000320708,0.005722455,0.000266813,0.002381186,0.003937334,0.007565894,0.000552916,0.000146456,0,0.004978692,0.007455098,0,0.000266264,0.000216149,0,0.006577969,0.003510853,0.000115469,0.000227379,0.000270391,0.004744464,0.000717682,0.001333095,0.000214882,0.000134586,0.007213671,0.007305426,0.004171032,0.000624367,0.00089286,0.002415207,0.000139123,0.000399909,0.000329159,0.000296283,0.007510612,0.00151486,0.006228599,0.000651896,0.006591892,0.000640031,0.005690161,0.005267337,0.007315478,0.003099715,0.000410595,0.00044226,0.00024671,0.005823552,0.003247891,0.010030389,0.002821335,0.005904475,0.006234995,0.004065354,0,0.000254974,0.006143583,0.000447511,0.000577297,0.000283003,0.000216802,7.90E-05,0.004457682,0,0.012249601,0.000653036,0.000574868,0.002010508,0.000309373,0.000411464,0.000530622,0.002410029,0.004365703,0.006632933,0.000153555,0.000132717,0.00011014,0.000676633,0.000394178,0.003250588,9.34E-05,0.000432648,0.00756656,0.000403649,0.005742832,0.000306082,0.000449526,0.005558969,0.000102087,0,8.71E-05,0.000491388,0.000152619,0.000953834,0.000203274,0,0.000318275,0.002834661,0.000180363,0.004680207,0.003412809,0.000175699,0.000154681,0.00081445,0.002648358,0.000724779,0.004206716,0.000584458,0.000269071,0.000221946,0.000336758,0.003801118,0.000526349,0.005564978,0.000875827,0.003137879,0.003266616,0.006287712,8.74E-05,9.53E-05,0.007329932,0.003780791,0.003972986,0.006415299,0.000197554,0.000185538,0.003704439,0.004685847,0.008355539,0.006526077,0.000600428,0.00064369,0.001547747,0.000245946,0.000206029,0.000562929,0,0,0.000104908,0.00048479,0.0024264,0.000195277,0.004594175,0.001837613,0.004348131,0.005508105,0
Anaerobutyricum,0.002638213,0.001185054,0.001654283,0.003639206,0.000832627,0.001324248,0.003793802,0.001655984,0.003481486,0.000721859,0.003609335,0.001361071,0.002165394,6.45E-05,0.004945554,0.000675898,0.003071779,0.002281747,0.000877757,0.000443313,0.001566601,0.00047236,0.000268875,0.004157479,0.002712629,0.00294198,0.001860493,0.002171658,0.001727472,0.002036982,0.002883289,0.000364957,0.003381423,0.001342918,0.005061144,0.000317919,0.001972085,0.002143469,0.001582577,0.001199031,0.004556252,0.000530613,0.001325813,0.003149043,0.004035646,0.002702658,0.001385535,0.002875162,0.004479335,0.002605835,0.001543814,0.003193977,0.000380754,0.002440375,0.00372731,0.001011439,0.002115695,0.001494743,0.004190196,0.000400865,0.002050195,0.002082842,0.002882995,0.00125759,0.000884574,0.001230703,0.001516534,0.000212504,0.003254851,0.001886087,0.002708581,0.002619443,0.003829881,0.001849179,0.003435825,0.000307601,0.000332218,0.004399333,0.001471512,0.003248178,0.000240482,0.002690285,0.001145463,0.001728565,0.002285903,0.002872128,0.000367525,0.001274476,0.003778209,0.002598317,0.001849509,0.003968023,0.000476071,0.00232622,0.002944899,0.000260821,0.000500452,0.002881689,0.003805695,0.000327224,0.0016913,0.000332906,0.001674402,0.000348392,0.001644314,0.001697621,0.002037775,0.00051612,0.001304349,0.000577821,0,0.002001284,0.005077613,0.000341312,0.000540061,0.001919354,0.002450144,0.00293034,0.000975998,0.000424878,0,0.000253033,0.00059586,0.001803557,0.003261458,0.005090744,0.00688832,0.001178198,0.003729751,0.001414424,0.006909173,0.001535418,0.000180514,0.00261368,0.003011433,0.002793588,0.001269746,0.000640869,0.00020322,0.002661298,0.003335262,0.001023043,0.001001749,0.002545656,0.002683659,0.001647811,0.001475852,0.002767892,0.000358185,0.000274451,0,0.000341756,0.002117697,0.002370091,0.001180583,0.003892154,0.003802466,0.000420007,0.001151081,0.004330325,0.001842155,0.002369846,0.001113348,0.001374247,0.000631927
Anaerostipes,0.005202171,0.006388908,0.001365106,0.008860691,0.000688223,0.003268975,0.000911896,0.002248082,0.005559497,0.001125211,0.007222406,0.00605741,0.003587505,0.000307849,0.00811716,0.01204769,0.006008664,0.003025886,0.000521072,0.011441022,0.001722026,0.000522643,0.000560144,0.004911319,0.005086954,0.007852342,0.005933743,0.002523983,0.006156594,0.004379427,0.00590818,0.000787459,0.010735126,0.003619178,0.011886281,0.004135893,0.002636481,0.003349794,0.006346576,0.002960435,0.005320517,0.001159235,0.002168331,0.002132881,0.001533782,0.00399752,0.002667035,0.00477123,0.012862352,0.004845655,0.002564865,0.006793759,0.000607433,0.005029603,0.00330946,0.001233846,0.00520332,0.003682093,0.004863825,0.001587025,0.000598882,0.001199472,0.004808544,0.000835146,0.002643123,0.00541253,0.001776071,0.001485353,0.005401638,0.002734674,0.003340893,0.01282809,0.012032417,0.005428325,0.007233063,0.000874646,0.000682752,0.009126781,0.005560983,0.007072539,0.007691321,0.008071265,0.000726721,0.004731383,0.005964742,0.003114515,0.014285573,0.002073173,0.004699944,0.005560401,0.002357891,0.007323971,0.002370701,0.010590371,0.007560429,0.008371629,0.001320841,0.005319888,0.008555325,0.000962361,0.003777228,0.008007425,0.004863858,0.000742065,0.001253094,0.000657562,0.001926352,0.010569704,0.009436144,0.007191852,0.000162314,0.006178106,0.005952723,0.000504141,0.004306872,0.008740182,0.001350939,0.002312141,0.000857791,0.005638974,0.000621635,0.003832718,0.000809892,0.00257262,0.006167329,0.004249402,0.00166151,0.003905776,0.008415234,0.000969349,0.012946086,0.003616152,0.001035291,0.005411705,0.008283114,0.005581791,0.007432249,0.006339156,0.001810234,0.001995085,0.006441593,0.007357312,0.002254819,0.013391617,0.006212418,0.003797942,0.00653548,0.007054953,0.000791852,0.001195232,0,0.007337838,0.01057802,0.01129258,0,0.003236819,0.010635132,0.006917473,0.010569542,0.008206563,0.005289624,0.007834123,0.010844453,0.003741598,0.012666867
Anaerotignum,0.000539189,0.000117608,0.000288339,0.000100708,0,0.001941656,0.001376657,0.000740129,0.000136896,0,0.00148542,0.000205855,0.00023998,0.001006499,0.001515685,0,0.000295538,0.003481551,0.001402589,0.001263391,0.000838635,0.000730486,0.000794367,0.001082226,0.000371011,0.000141994,0.000582981,0.000934483,0.000391556,0.000588056,0.000209763,0.000189783,0.000591375,0.000918774,0.00016939,0.002135837,0.000777149,0.000588716,0.000874233,0.000385987,0.000644509,0.002785371,0.00080711,0.000792942,0.0010931,0.000230235,0,0.000166464,0,9.79E-05,0.002184491,0.002236236,0.00111022,0.000384929,0.001066836,0.00119955,0.00078961,0.000135977,0.000277504,0.000996242,0.000588396,0.001446374,0.001041775,0,0.002500627,0.00012054,0.000941952,0.000318106,0.000843136,0.00083082,0.000189235,0.002591685,0,0.000223606,0.002242063,0.000516039,0,0.001003109,0.001559117,0.001123402,0,0.003726894,0.000175491,0.001120983,0.000122559,0.000126585,0.000182212,0.000181703,0.000325206,0.001196767,0.001002551,0.000825321,0.000193823,0.003886299,0.001337905,0.000172293,0,0.001991012,0.000517859,0,0.000590248,0.001926329,0.000751698,0.002953535,0,0.001043087,0,0,0.000326828,0.00079613,0,0.000203484,0.001031537,0.000238014,0.00116154,0.000961238,0.002265919,0.000948098,0.000642386,0.002139198,0,0.003393727,0.005512079,0.000523003,0.000470884,0.00011383,0.003588145,0.00107088,0.000257697,0,0.000275701,0.00069721,0.000922639,0.002417501,0.00062183,0.000758043,0.000779464,0.000133341,0.001115666,0.00115802,0.00093619,0.001181831,0.000966526,0.000993856,0.000754381,0.000504033,0.001052475,0.000773479,0.002880036,0.000802093,0,0,0.001387744,0.000294479,0,0.000163513,0.000257824,0.001127671,0.000641579,0.000233567,0.000907365,0.000495091,0.001206978,0.000693363,0
Bacteroides,0.003247393,0.005563166,0.000860629,0.011588531,0.009465985,0.008030748,0.002010317,0.007133476,0.004228845,0.02490915,0.010818091,0.00509592,0.006838323,0.008096898,0.007033973,0.008742163,0.011315538,0.00450716,0.005289027,0.002698513,0.001804091,0.009466946,0.010406496,0.001027082,0.011905409,0.002418012,0.008618673,0.012461034,0.001506153,0.00701258,0.003169315,0.021580196,0.006624342,0.00351785,0.00715146,0.014459137,0.005669388,0.003340005,0.004123829,0.001066387,0.00101295,0.017459837,0.002140389,0.003260759,0.005310253,0.002173374,0.000599008,0.004476248,0.000902534,0.00495064,0.016090681,0.003091869,0.007613107,0.001251801,0.002371632,0.001727485,0.003901985,0.001343783,0.004944428,0.009224645,0.001706244,0.000830807,0.002756255,0.015787725,0.002213414,0.004191806,0.007719948,0.011783315,0.004842256,0.010240609,0.003074703,0.001422608,0.001632993,0.004361293,0.00345489,0.00362572,0.011156193,0.00541529,0.007751101,0.005942784,0.005660803,0.002876357,0.004650546,0.007640923,0.010642419,0.004769685,0.018168015,0.001311294,0.004596709,0.004093112,0.002021862,0.005823292,0.002956859,0.003182506,0.002659735,0.014932539,0.012786535,0.002233843,0.006778167,0.02637123,0.003559018,0.007001803,0.00605319,0.012181052,0.008734218,0.002159295,0.003965497,0.005488626,0.00558486,0.008199872,0.005941869,0.005593843,0.007263413,0.013596866,0.008133184,0.00126196,0.003271349,0.001456154,0.001568635,0.003893033,0.013023796,0.006132496,0.006706243,0.002643777,0.001907534,0.006792106,0.003946333,0.005431386,0.001759136,0.005593202,0.001263886,0.008865972,0.005705361,0.007238832,0.00620345,0.003458315,0.006828706,0.01066031,0.003816602,0.002231968,0.001799731,0.004209591,0.006967677,0.002082455,0.001663041,0.002168492,0.004437731,0.004398665,0.003157166,0.021100706,0.010596009,0.004161181,0.007907972,0.016028621,0.010625068,0.002883509,0.005195596,0.012067719,0.002739234,0.00183355,0.009216296,0.001341295,0.004521409,0.001584274,0.002476767
Bifidobacterium,0.004200315,0.000872082,0.001663218,0.000279474,0.000233534,0.000815588,0.000401481,0.001179619,0.002596907,0.002342102,0.004513764,0.002180711,0.000236116,0.001024873,0.004748133,0.000276852,0.000314023,0.00020415,0.000552492,0.003039696,0.000230738,0.00448181,0.000880305,0.002219919,0.001924022,0.005940581,0.001671093,0.001458127,0.004641444,0,0.002480675,0.005257618,0.003670052,0.003358867,0.005258451,0.000715805,0.001719567,0.002529179,0.000155591,0.000423771,0.001668879,0.000521268,0.003550058,0.000534728,0.00041024,0.002494609,0.003130896,0.003021002,0.006947565,0.002679263,0.000841099,0.008456612,0.001774277,0.002761001,0.004950919,0,0.000264084,0.002271883,0.008477695,0.00030286,0.001375895,0.000192979,0.001418951,0.002285186,0.008101997,0.002421755,0.000278623,0.003497401,0.001583352,0.00070263,0.000709881,0.01181302,0.006214711,0.00104873,0.005073734,0.000457146,0.008550408,0.003166628,0.000606631,0.002606906,0.005857648,0.001496646,0.000326913,0.003069797,0.006054485,0.003906709,0.000182542,0.00166809,0.00214263,0.000314057,0.000381803,0.000630028,0.00340689,0.002791668,0.005297662,0.001919651,0.00045085,0.000439819,0.005779954,0.000986711,0.000345289,0.00030715,0.000917554,0.000631115,0.000642784,0.000357924,0.00486764,0.007529265,0.00839194,0.001882717,0.000500716,0.000959779,0.005424661,0.001733033,0.002870126,0.007672575,0.002116797,0.000491929,9.27E-05,0.002297681,0.010977221,0.001472788,0.000850046,0.000153388,0.000741411,0.004104724,0.001755273,0.000471909,0.005213933,0.015447743,0.000556628,0.003976435,0.004292388,0.000782277,0.002563826,0.002224618,0.002551169,0.002616639,0.000845132,8.82E-05,0.001763756,0.003989728,0.000379397,0.002447446,0.002268091,0.001761454,0.002248449,0.002480823,0.002448429,0.002357545,0.002149795,0.000178841,0.003237281,0.005695037,0,0.005114755,0.005536768,0.000247492,0.003134055,0.006989961,0.007315585,0.010479988,0.00550278,0.000192126,0.001346551
Blautia,0.000825396,0.000927248,0.000566141,0.000781579,0.000546531,0.000972703,0.001298658,0.000522207,0.00056084,0.001282588,0.001016629,0.000364778,0.000774314,0.000708784,0.000790845,0.000336992,0.000434235,0.001341207,0.000643073,0.001193888,0.00136742,0.000294675,0.000780014,0.001454675,0.001105895,0.000660877,0.000753118,0.001012421,0.001441898,0.001363527,0.000942132,0.00150623,0.00129575,0.000568919,0.001132442,0.000916978,0.000784042,0.000800027,0.000681285,0.000853086,0.001253261,0.000423779,0.000326634,0.001129551,0.000780842,0.001167286,0.000778282,0.000648208,0.000968363,0.000764732,0.00080055,0.000806353,0.000368493,0.001067666,0.001440145,0.000321361,0.000909655,0.001422429,0.000853919,0.00058225,0.000806889,0.000921174,0.00073736,0.000340819,0.001108135,0.000889812,0.000793631,0.001081086,0.001215985,0.000534584,0.001128543,0.000814619,0.002004003,0.001086039,0.001018759,0.000803751,0.001058843,0.000816376,0.000838529,0.000553644,0.000902646,0.001364235,0.000564099,0.000753722,0.000588197,0.00089719,0.000986218,0.000497254,0.00121658,0.000823097,0.000805675,0.001222467,0.000279966,0.000981015,0.000874532,0.000340118,0.001977457,0.000404202,0.00100472,0.000472609,0.000877435,0.000801653,0.000731317,0.000480542,0.001211449,0.000643902,0.000386079,0.001678919,0.00079048,0.000969364,0.001044736,0.001682942,0.001736894,0.001203245,0.001292726,0.001717066,0.001173401,0.001370468,0.000876182,0.001034126,0.000300216,0.000604964,0.001117842,0.00110757,0.000960631,0.001224115,0.001065687,0.000945976,0.001431593,0.001603107,0.002255489,0.00062856,0.000459789,0.000926223,0.001123516,0.000725784,0.000888582,0.000542993,0.000601274,0.001049891,0.000939493,0.000991521,0.000747653,0.001233379,0.001254682,0.000721955,0.001026636,0.001005067,0.000804081,0.000763995,0,0.000770577,0.000400125,0.001568251,0.001490332,0.001428478,0.000820908,0.001143539,0.000961787,0.000771421,0.001047851,0.000990315,0.001110197,0.00086308,0.001537125
Clostridia bacterium,0.001686257,0.000903246,0.001516319,0.00062053,0.001077914,0.001024864,0.000941662,0.001260263,0.00066399,0.001431259,0.00143569,0.001845231,0.000586236,0.001166378,0.000962453,0.000764849,0.001631971,0.001520553,0.001646265,0.001204751,0.001608248,0.001438905,0.001667887,0.001717878,0.001644508,0.000878824,0.000798643,0.000887934,0.001272323,0.001802861,0.000972777,0.001204846,0.001003116,0.002080166,0.000921449,0.000737792,0.001448002,0.001473853,0.001031117,0.001268401,0.001236489,0.000631723,0.001771263,0.001904601,0.00057097,0.001955534,0.001559429,0.000749231,0.002153474,0.000907406,0.001300131,0.000792039,0.000505523,0.001493992,0.000964398,0.003050305,0.000847085,0.001504867,0.001538317,0.00144268,0.002144314,0.002157891,0.001520897,0.00066058,0.000784722,0.001051344,0.001245399,0.000897764,0.001301761,0.001137893,0.001157073,0.000655223,0.000701008,0.000952416,0.001279412,0.001158062,0.001732994,0.000948846,0.001546499,0.000868763,0.001206391,0.000823706,0.001211021,0.000877264,0.001556443,0.00145636,0.001037549,0.00111453,0.001842674,0.001014853,0.00268948,0.001125812,0.001174476,0.000729492,0.001024295,0.001149667,0.000921044,0.00156676,0.001049729,0.001233423,0.001616936,0.000846416,0.001561013,0.001417405,0.001124908,0.002963796,0.001537008,0.001325774,0.000799949,0.001433207,0.001798835,0.001807916,0.000794723,0.001833367,0.001164035,0.001699908,0.000640118,0.003138819,0.001498935,0.000906573,0.001688412,0.002074679,0.002139895,0.001107878,0.001420415,0.000815815,0.001001087,0.001548819,0.000847893,0.005483587,0.001273536,0.000736628,0.000589499,0.001177437,0.001001144,0.001979319,0.000510161,0.001304944,0.000738795,0.001192185,0.000751343,0.000792668,0.000813885,0.000525023,0.001761639,0.00216537,0.001250724,0.000980873,0.001106253,0.000822982,0.001075902,0.001408474,0.000665785,0.001282887,0.002459518,0.001195353,0.001192134,0.000671109,0.000690657,0.001152373,0.001294516,0.000451132,0.001266905,0.00109758,0.001643042
Clostridiales bacterium,0.000961621,0.000662843,0.001359806,0.000148623,0.000459218,0.001042845,0.000569627,0.001448474,0.000682777,0.000996415,0.001142382,0.001364306,0.000562728,0.000588022,0.00053672,0.000241749,0.000977889,0.000931213,0.001538446,0.000824347,0.000780263,0.001110954,0.000500642,0.000788975,0.000849684,0.000384304,0.000420437,0.001023891,0.000787377,0.000878153,0.000723274,0.000353572,0.000330027,0.002389168,0.000469075,0.000392741,0.000487515,0.000665164,0.000143875,0.001454511,0.001230493,0.000611334,0.00056866,0.000625264,0.001020063,0.00133514,0.001823635,0.000502014,0.00128976,0.00041094,0.000362349,0.000406595,0.000504935,0.00069765,0.000640221,0.000373705,0.000478601,0.000557734,0.000195901,0.000520809,0.000974679,0.000872823,0.000618402,0.000723784,0,0.000101875,0.000642121,0.000303242,0.000831605,0.000656168,0.001049489,0.000141447,0.000574604,0.00020912,0.000594514,0.000372156,0.000350909,0.001595182,0.000617995,0.000482603,0.000301377,0.000535783,0.000890403,0.000440336,0.00041229,0.000373552,0.000712218,0.000752468,0.00091935,0.000724033,0.001120264,0.000417684,0.000905482,0.00159537,0.000492739,0.000599487,0,0.001362327,0.000439485,0.000366916,0.000239075,0.000307305,0.000868903,0.000737539,0.00042439,0.000916906,0.000800219,0.000533829,0.000334074,0.000585937,0.00131286,0.001457795,0.000818067,0.00114124,0.000837193,0.000222479,0.000322969,0.000629295,0.000596441,0.000291139,0.000777005,0.000389524,0,0.00077233,0.000641885,0.000102956,0.000472795,0.000430514,0.00041531,0,0.000622643,0.000504831,0.000740991,0.001063923,0.000412417,0.000304795,7.50E-05,0.000376383,0.000159807,0.000587069,0.000181642,0.000113386,0.000241378,0.000338616,0.000647393,0.000610609,0.000744932,0.000300474,0.000326779,0.000228961,0,0.000323206,0.000513778,0.000586726,0.000906394,0.000640055,0.000768732,0.000369374,0.000181984,0.000593467,0.000676279,0.000312457,0.000404155,0.000773133,0
Clostridiales bacterium 41_12_two_minus,0.000813529,0.00039264,0.000354284,0.000159584,0.001032871,0.000946782,0.001197847,0.000604361,0.001067938,0.000233846,0.001213056,0.000652897,0.000100747,0.001263494,0.000564477,0.00038849,0.000314176,0.000164658,0,0.000569828,0.000604242,9.43E-05,0.000396138,0,0.000371702,0.000254456,0.000878852,0.000792111,0.002035407,0.002243415,0.001626946,0.00018477,0.001500171,0.001441736,0.000616763,0.000138662,0.001129425,0.001124717,0.000249387,0.001132091,0.000106687,0.000961457,0.000302942,0.000903577,0.000746195,0.001612493,0.000172837,0.001160351,0.000728711,0.000387946,0.001462193,0.000416543,0.000145989,0.000668605,0.001185797,0.000200949,0.000773623,0.000660308,0.000960515,0.00023345,0.000559942,0.000489936,0.000303972,0.000432532,0.000246495,0.000528833,0.000263504,0.0004336,0.001006768,0.000673656,0.0003062,0.001301585,0.001462958,0.000270485,0.000915344,0.001158424,0.000534392,0.000948554,0.000279135,0.002024048,0.000191297,0.000592597,0.000627199,0.001065823,0.000384308,0.001189486,0.000461314,0.000380427,0.00076471,0.000403011,0.001823317,0.00139223,0.000364618,0.000334728,0.000154984,0.000157057,0.000415592,0.000362839,0.002242052,0.000201891,0.000251905,0.000314201,0.000928804,0.000337527,0.001871115,0.00045854,0.000744024,0,0.000126884,0.000205488,0.000436603,0.001587836,0.000862735,0.000438361,0.000195497,0.000859428,0.00196068,0,0.000262116,0.001745678,0.000235447,0.000628296,0,0.001280427,0.000926945,0.00097643,0.000613731,0.000386202,0.000324597,0,0.000301653,0.000745604,0.000551269,0.001524379,0.000257193,0.001287139,0.000197903,0.000493111,0.000157193,0.000699348,0.001686035,0.000423956,0.000353962,0.001318351,0.001352571,0.000880414,0.000606556,0.001417421,0.000218713,0.00065288,0,0.000297051,0.001089871,0.000397157,0.001172418,0.00054338,0.000505777,0.001335317,0.00010483,0.002030432,0.00078408,0.000212239,0,0.000332025,0
Clostridiales bacterium 41_21_two_genomes,0.000883742,0.000123905,0,0,0.000847914,0.001179908,0.000956154,0.000597629,0.001080627,0.000423878,0.000896973,0,0.000227476,0.001183614,0.0005869,0,0.000167596,0.000823201,0.000201137,0,0.000640097,0,0,0.000192447,0,0.000244949,0.000774935,0.000529287,0.003241673,0.002362934,0.002110185,0.000139779,0.001744451,0.000914821,0.000132367,0.000233368,0.001169616,0.001134764,0.000143623,0.000776257,0,0.000446192,0.000111803,0.00094269,0.001149435,0.002063097,0,0.001192393,0.000183783,0.000577659,0.001421325,0.000316862,0,0.000913219,0.001374764,0,0.000917029,0.000569468,0.000597779,0.000455698,0.000639609,0.000985983,0,0,0,0.000556453,0,0.000171428,0.000818991,0.000686826,0,0.001578635,0.002175716,0.000602309,0.00096735,0.001142841,0.000771405,0.000709857,0.001403445,0.001717394,0.000200241,0,0,0.001180692,0.000260405,0.001345496,0,0.000394648,0.000909761,0.000149289,0.001554562,0.001313179,0.00052461,0.001180121,0.000150748,0,0,0,0.003292095,0,0.000390029,0,0.000499953,0,0.002452405,0.000250039,0.000925405,0.000275612,0.000109319,0,0,0.001316046,0.000579096,0,0.000186771,0.001087636,0.002159565,0.000359572,0.000248798,0.002319436,0,0.000554835,0.000417763,0.001151394,0.00099878,0.001095096,0,0.000417756,0,0,0.000200008,0.001296226,0,0.001433123,0.000150937,0.001263807,9.63E-05,0.000243524,0.000302934,0.000771794,0.001084877,7.60E-05,0.000116768,0.001297261,0.000943396,0.000846869,0.000708091,0.001519933,0,0.000801143,0,0.000153877,0.001076681,0.00028067,0,0.000469055,0,0.001890295,9.56E-05,0.00264438,0.000379544,0.000137428,0.000356701,0.000516171,0
